GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,STATEICP,COUNTYICP,A7L001,A81001
"G010","1920","Alabama","010",,"Alabama","41","0",2348174,2348174
"G025","1920","Alaska Territory","025",,"Alaska Territory","81","0",55036,55036
"G040","1920","Arizona","040",,"Arizona","61","0",334162,334162
"G050","1920","Arkansas","050",,"Arkansas","42","0",1752204,1752204
"G060","1920","California","060",,"California","71","0",3426861,3426861
"G080","1920","Colorado","080",,"Colorado","62","0",939629,939629
"G090","1920","Connecticut","090",,"Connecticut","1","0",1380631,1380631
"G100","1920","Delaware","100",,"Delaware","11","0",223003,223003
"G110","1920","District Of Columbia","110",,"District of Columbia","98","0",437571,437571
"G120","1920","Florida","120",,"Florida","43","0",968470,968470
"G130","1920","Georgia","130",,"Georgia","44","0",2895832,2895832
"G155","1920","Hawaii Territory","155",,"Hawaii Territory","82","0",255881,255912
"G160","1920","Idaho","160",,"Idaho","63","0",431866,431866
"G170","1920","Illinois","170",,"Illinois","21","0",6485280,6485280
"G180","1920","Indiana","180",,"Indiana","22","0",2930390,2930390
"G190","1920","Iowa","190",,"Iowa","31","0",2404021,2404021
"G200","1920","Kansas","200",,"Kansas","32","0",1769257,1769257
"G210","1920","Kentucky","210",,"Kentucky","51","0",2416630,2416630
"G220","1920","Louisiana","220",,"Louisianna","45","0",1798509,1798509
"G230","1920","Maine","230",,"Maine","2","0",768014,768014
"G240","1920","Maryland","240",,"Maryland","52","0",1449661,1449661
"G250","1920","Massachusetts","250",,"Massachusetts","3","0",3852356,3852356
"G260","1920","Michigan","260",,"Michigan","23","0",3668412,3668412
"G270","1920","Minnesota","270",,"Minnesota","33","0",2387125,2387125
"G280","1920","Mississippi","280",,"Mississippi","46","0",1790618,1790618
"G290","1920","Missouri","290",,"Missouri","34","0",3404055,3404055
"G300","1920","Montana","300",,"Montana","64","0",548889,548889
"G310","1920","Nebraska","310",,"Nebraska","35","0",1296372,1296372
"G320","1920","Nevada","320",,"Nevada","65","0",77407,77407
"G330","1920","New Hampshire","330",,"New Hampshire","4","0",443083,443083
"G340","1920","New Jersey","340",,"New Jersey","12","0",3155900,3155900
"G350","1920","New Mexico","350",,"New Mexico","66","0",360350,360350
"G360","1920","New York","360",,"New York","13","0",10385228,10385228
"G370","1920","North Carolina","370",,"North Carolina","47","0",2559123,2559123
"G380","1920","North Dakota","380",,"North Dakota","36","0",646872,646872
"G390","1920","Ohio","390",,"Ohio","24","0",5759394,5759394
"G400","1920","Oklahoma","400",,"Oklahoma","53","0",2028283,2028283
"G410","1920","Oregon","410",,"Oregon","72","0",783389,783389
"G420","1920","Pennsylvania","420",,"Pennsylvania","14","0",8720018,8720018
"G440","1920","Rhode Island","440",,"Rhode Island","5","0",604397,604397
"G450","1920","South Carolina","450",,"South Carolina","48","0",1683724,1683724
"G460","1920","South Dakota","460",,"South Dakota","37","0",636547,636547
"G470","1920","Tennessee","470",,"Tennessee","54","0",2337885,2337885
"G480","1920","Texas","480",,"Texas","49","0",4663228,4663228
"G490","1920","Utah","490",,"Utah","67","0",449396,449396
"G500","1920","Vermont","500",,"Vermont","6","0",352428,352428
"G510","1920","Virginia","510",,"Virginia","40","0",2309187,2309187
"G530","1920","Washington","530",,"Washington","73","0",1356621,1356621
"G540","1920","West Virginia","540",,"West Virginia","56","0",1463701,1463701
"G550","1920","Wisconsin","550",,"Wisconsin","25","0",2632067,2632067
"G560","1920","Wyoming","560",,"Wyoming","68","0",194402,194402
