GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,STATEICP,COUNTYICP,BV7001,BX1001,BX1002,BYW001
"G010","1940","Alabama","010",,"Alabama","41","0",2832961,2832961,2646248,2832961
"G025","1940","Alaska Territory","025",,"Alaska Territory","81","0",72524,72524,59278,72524
"G040","1940","Arizona","040",,"Arizona","61","0",499261,499261,435573,499261
"G050","1940","Arkansas","050",,"Arkansas","42","0",1949387,1949387,1854482,1949387
"G060","1940","California","060",,"California","71","0",6907387,6907387,5677251,6907387
"G080","1940","Colorado","080",,"Colorado","62","0",1123296,1123296,1035791,1123296
"G090","1940","Connecticut","090",,"Connecticut","1","0",1709242,1709242,1606903,1709242
"G100","1940","Delaware","100",,"Delaware","11","0",266505,266505,238380,266505
"G110","1940","District Of Columbia","110",,"District of Columbia","98","0",663091,663091,486869,663091
"G120","1940","Florida","120",,"Florida","43","0",1897414,1897414,1468211,1897414
"G130","1940","Georgia","130",,"Georgia","44","0",3123723,3123723,2908506,3123723
"G155","1940","Hawaii Territory","155",,"Hawaii Territory","82","0",422770,423330,368336,423330
"G160","1940","Idaho","160",,"Idaho","63","0",524873,524873,445032,524873
"G170","1940","Illinois","170",,"Illinois","21","0",7897241,7897241,7630654,7897241
"G180","1940","Indiana","180",,"Indiana","22","0",3427796,3427796,3238503,3427796
"G190","1940","Iowa","190",,"Iowa","31","0",2538268,2538268,2470939,2538268
"G200","1940","Kansas","200",,"Kansas","32","0",1801028,1801028,1880999,1801028
"G210","1940","Kentucky","210",,"Kentucky","51","0",2845627,2845627,2614589,2845627
"G220","1940","Louisiana","220",,"Louisianna","45","0",2363880,2363880,2101593,2363880
"G230","1940","Maine","230",,"Maine","2","0",847226,847226,797423,847226
"G240","1940","Maryland","240",,"Maryland","52","0",1821244,1821244,1631526,1821244
"G250","1940","Massachusetts","250",,"Massachusetts","3","0",4316721,4316721,4249614,4316721
"G260","1940","Michigan","260",,"Michigan","23","0",5256106,5256106,4842325,5256106
"G270","1940","Minnesota","270",,"Minnesota","33","0",2792300,2792300,2563953,2792300
"G280","1940","Mississippi","280",,"Mississippi","46","0",2183796,2183796,2009821,2183796
"G290","1940","Missouri","290",,"Missouri","34","0",3784664,3784664,3629367,3784664
"G300","1940","Montana","300",,"Montana","64","0",559456,559456,537606,559456
"G310","1940","Nebraska","310",,"Nebraska","35","0",1315834,1315834,1377963,1315834
"G320","1940","Nevada","320",,"Nevada","65","0",110247,110247,91058,110247
"G330","1940","New Hampshire","330",,"New Hampshire","4","0",491524,491524,465293,491524
"G340","1940","New Jersey","340",,"New Jersey","12","0",4160165,4160165,4041334,4160165
"G350","1940","New Mexico","350",,"New Mexico","66","0",531818,531818,423317,531818
"G360","1940","New York","360",,"New York","13","0",13479142,13479142,12588066,13479142
"G370","1940","North Carolina","370",,"North Carolina","47","0",3571623,3571623,3170276,3571623
"G380","1940","North Dakota","380",,"North Dakota","36","0",641935,641935,680845,641935
"G390","1940","Ohio","390",,"Ohio","24","0",6907612,6907612,6646697,6907612
"G400","1940","Oklahoma","400",,"Oklahoma","53","0",2336434,2336434,2396040,2336434
"G410","1940","Oregon","410",,"Oregon","72","0",1089684,1089684,953786,1089684
"G420","1940","Pennsylvania","420",,"Pennsylvania","14","0",9900180,9900180,9631350,9900180
"G440","1940","Rhode Island","440",,"Rhode Island","5","0",713346,713346,687497,713346
"G450","1940","South Carolina","450",,"South Carolina","48","0",1899804,1899804,1738765,1899804
"G460","1940","South Dakota","460",,"South Dakota","37","0",642961,642961,692849,642961
"G470","1940","Tennessee","470",,"Tennessee","54","0",2915841,2915841,2616556,2915841
"G480","1940","Texas","480",,"Texas","49","0",6414824,6414824,5824715,6414824
"G490","1940","Utah","490",,"Utah","67","0",550310,550310,507847,550310
"G500","1940","Vermont","500",,"Vermont","6","0",359231,359231,359611,359231
"G510","1940","Virginia","510",,"Virginia","40","0",2677773,2677773,2421851,2677773
"G530","1940","Washington","530",,"Washington","73","0",1736191,1736191,1563396,1736191
"G540","1940","West Virginia","540",,"West Virginia","56","0",1901974,1901974,1729205,1901974
"G550","1940","Wisconsin","550",,"Wisconsin","25","0",3137587,3137587,2939006,3137587
"G560","1940","Wyoming","560",,"Wyoming","68","0",250742,250742,225565,250742
