GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,STATEICP,COUNTYICP,B1N001,B13001
"G010","1950","Alabama","010",,"Alabama","41","0",3061743,3061743
"G025","1950","Alaska Territory","025",,"Alaska Territory","81","0",128643,128643
"G040","1950","Arizona","040",,"Arizona","61","0",749587,749587
"G050","1950","Arkansas","050",,"Arkansas","42","0",1909511,1909511
"G060","1950","California","060",,"California","71","0",10586224,10586224
"G080","1950","Colorado","080",,"Colorado","62","0",1325089,1325089
"G090","1950","Connecticut","090",,"Connecticut","1","0",2007280,2007280
"G100","1950","Delaware","100",,"Delaware","11","0",318085,318085
"G110","1950","District Of Columbia","110",,"District of Columbia","98","0",802178,802178
"G120","1950","Florida","120",,"Florida","43","0",2771305,2771305
"G130","1950","Georgia","130",,"Georgia","44","0",3444578,3444578
"G155","1950","Hawaii Territory","155",,"Hawaii Territory","82","0",499794,499794
"G160","1950","Idaho","160",,"Idaho","63","0",588637,588637
"G170","1950","Illinois","170",,"Illinois","21","0",8712176,8712176
"G180","1950","Indiana","180",,"Indiana","22","0",3934224,3934224
"G190","1950","Iowa","190",,"Iowa","31","0",2621073,2621073
"G200","1950","Kansas","200",,"Kansas","32","0",1905299,1905299
"G210","1950","Kentucky","210",,"Kentucky","51","0",2944806,2944806
"G220","1950","Louisiana","220",,"Louisianna","45","0",2683516,2683516
"G230","1950","Maine","230",,"Maine","2","0",913774,913774
"G240","1950","Maryland","240",,"Maryland","52","0",2343001,2343001
"G250","1950","Massachusetts","250",,"Massachusetts","3","0",4690514,4690514
"G260","1950","Michigan","260",,"Michigan","23","0",6371766,6371766
"G270","1950","Minnesota","270",,"Minnesota","33","0",2982483,2982483
"G280","1950","Mississippi","280",,"Mississippi","46","0",2178914,2178914
"G290","1950","Missouri","290",,"Missouri","34","0",3954653,3954653
"G300","1950","Montana","300",,"Montana","64","0",591024,591024
"G310","1950","Nebraska","310",,"Nebraska","35","0",1325510,1325510
"G320","1950","Nevada","320",,"Nevada","65","0",160083,160083
"G330","1950","New Hampshire","330",,"New Hampshire","4","0",533242,533242
"G340","1950","New Jersey","340",,"New Jersey","12","0",4835329,4835329
"G350","1950","New Mexico","350",,"New Mexico","66","0",681187,681187
"G360","1950","New York","360",,"New York","13","0",14830192,14830192
"G370","1950","North Carolina","370",,"North Carolina","47","0",4061929,4061929
"G380","1950","North Dakota","380",,"North Dakota","36","0",619636,619636
"G390","1950","Ohio","390",,"Ohio","24","0",7946627,7946627
"G400","1950","Oklahoma","400",,"Oklahoma","53","0",2233351,2233351
"G410","1950","Oregon","410",,"Oregon","72","0",1521341,1521341
"G420","1950","Pennsylvania","420",,"Pennsylvania","14","0",10498012,10498012
"G440","1950","Rhode Island","440",,"Rhode Island","5","0",791896,791896
"G450","1950","South Carolina","450",,"South Carolina","48","0",2117027,2117027
"G460","1950","South Dakota","460",,"South Dakota","37","0",652740,652740
"G470","1950","Tennessee","470",,"Tennessee","54","0",3291718,3291718
"G480","1950","Texas","480",,"Texas","49","0",7711194,7711194
"G490","1950","Utah","490",,"Utah","67","0",688862,688862
"G500","1950","Vermont","500",,"Vermont","6","0",377747,377747
"G510","1950","Virginia","510",,"Virginia","40","0",3318680,3318680
"G530","1950","Washington","530",,"Washington","73","0",2378963,2378963
"G540","1950","West Virginia","540",,"West Virginia","56","0",2005552,2005552
"G550","1950","Wisconsin","550",,"Wisconsin","25","0",3434575,3434575
"G560","1950","Wyoming","560",,"Wyoming","68","0",290529,290529
