GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,STATEICP,COUNTYICP,B5O001
"G010","1960","Alabama","010",,"Alabama","41","0",3266740
"G020","1960","Alaska","020",,"Alaska","81","0",226167
"G040","1960","Arizona","040",,"Arizona","61","0",1302161
"G050","1960","Arkansas","050",,"Arkansas","42","0",1786272
"G060","1960","California","060",,"California","71","0",15717204
"G080","1960","Colorado","080",,"Colorado","62","0",1753947
"G090","1960","Connecticut","090",,"Connecticut","1","0",2535234
"G100","1960","Delaware","100",,"Delaware","11","0",446292
"G110","1960","District Of Columbia","110",,"District of Columbia","98","0",763956
"G120","1960","Florida","120",,"Florida","43","0",4951560
"G130","1960","Georgia","130",,"Georgia","44","0",3943116
"G150","1960","Hawaii","150",,"Hawaii","82","0",632772
"G160","1960","Idaho","160",,"Idaho","63","0",667191
"G170","1960","Illinois","170",,"Illinois","21","0",10081158
"G180","1960","Indiana","180",,"Indiana","22","0",4662498
"G190","1960","Iowa","190",,"Iowa","31","0",2757537
"G200","1960","Kansas","200",,"Kansas","32","0",2178611
"G210","1960","Kentucky","210",,"Kentucky","51","0",3038156
"G220","1960","Louisiana","220",,"Louisianna","45","0",3257022
"G230","1960","Maine","230",,"Maine","2","0",969265
"G240","1960","Maryland","240",,"Maryland","52","0",3100689
"G250","1960","Massachusetts","250",,"Massachusetts","3","0",5148578
"G260","1960","Michigan","260",,"Michigan","23","0",7823194
"G270","1960","Minnesota","270",,"Minnesota","33","0",3413864
"G280","1960","Mississippi","280",,"Mississippi","46","0",2178141
"G290","1960","Missouri","290",,"Missouri","34","0",4319813
"G300","1960","Montana","300",,"Montana","64","0",674767
"G310","1960","Nebraska","310",,"Nebraska","35","0",1411330
"G320","1960","Nevada","320",,"Nevada","65","0",285278
"G330","1960","New Hampshire","330",,"New Hampshire","4","0",606921
"G340","1960","New Jersey","340",,"New Jersey","12","0",6066782
"G350","1960","New Mexico","350",,"New Mexico","66","0",951023
"G360","1960","New York","360",,"New York","13","0",16782304
"G370","1960","North Carolina","370",,"North Carolina","47","0",4556155
"G380","1960","North Dakota","380",,"North Dakota","36","0",632446
"G390","1960","Ohio","390",,"Ohio","24","0",9706398
"G400","1960","Oklahoma","400",,"Oklahoma","53","0",2328284
"G410","1960","Oregon","410",,"Oregon","72","0",1768687
"G420","1960","Pennsylvania","420",,"Pennsylvania","14","0",11319366
"G440","1960","Rhode Island","440",,"Rhode Island","5","0",859488
"G450","1960","South Carolina","450",,"South Carolina","48","0",2382594
"G460","1960","South Dakota","460",,"South Dakota","37","0",680514
"G470","1960","Tennessee","470",,"Tennessee","54","0",3567089
"G480","1960","Texas","480",,"Texas","49","0",9579678
"G490","1960","Utah","490",,"Utah","67","0",890627
"G500","1960","Vermont","500",,"Vermont","6","0",389881
"G510","1960","Virginia","510",,"Virginia","40","0",3966949
"G530","1960","Washington","530",,"Washington","73","0",2853214
"G540","1960","West Virginia","540",,"West Virginia","56","0",1860421
"G550","1960","Wisconsin","550",,"Wisconsin","25","0",3951777
"G560","1960","Wyoming","560",,"Wyoming","68","0",330066
