GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,AREANAME,CENCNTY,CBD,SEA,C1I001
"G010","1970","3","6","Alabama","01",,,,,,,,"Alabama",,,,3444165
"G020","1970","4","9","Alaska","02",,,,,,,,"Alaska",,,,300382
"G040","1970","4","8","Arizona","04",,,,,,,,"Arizona",,,,1770900
"G050","1970","3","7","Arkansas","05",,,,,,,,"Arkansas",,,,1923295
"G060","1970","4","9","California","06",,,,,,,,"California",,,,19953134
"G080","1970","4","8","Colorado","08",,,,,,,,"Colorado",,,,2207259
"G090","1970","1","1","Connecticut","09",,,,,,,,"Connecticut",,,,3031709
"G100","1970","3","5","Delaware","10",,,,,,,,"Delaware",,,,548104
"G110","1970","3","5","District Of Columbia","11",,,,,,,,"District Of Columbia",,,,756510
"G120","1970","3","5","Florida","12",,,,,,,,"Florida",,,,6789443
"G130","1970","3","5","Georgia","13",,,,,,,,"Georgia",,,,4589575
"G150","1970","4","9","Hawaii","15",,,,,,,,"Hawaii",,,,768561
"G160","1970","4","8","Idaho","16",,,,,,,,"Idaho",,,,712567
"G170","1970","2","3","Illinois","17",,,,,,,,"Illinois",,,,11113976
"G180","1970","2","3","Indiana","18",,,,,,,,"Indiana",,,,5193669
"G190","1970","2","4","Iowa","19",,,,,,,,"Iowa",,,,2824376
"G200","1970","2","4","Kansas","20",,,,,,,,"Kansas",,,,2246578
"G210","1970","3","6","Kentucky","21",,,,,,,,"Kentucky",,,,3218706
"G220","1970","3","7","Louisiana","22",,,,,,,,"Louisiana",,,,3641306
"G230","1970","1","1","Maine","23",,,,,,,,"Maine",,,,992048
"G240","1970","3","5","Maryland","24",,,,,,,,"Maryland",,,,3922399
"G250","1970","1","1","Massachusetts","25",,,,,,,,"Massachusetts",,,,5689170
"G260","1970","2","3","Michigan","26",,,,,,,,"Michigan",,,,8875083
"G270","1970","2","4","Minnesota","27",,,,,,,,"Minnesota",,,,3804971
"G280","1970","3","6","Mississippi","28",,,,,,,,"Mississippi",,,,2216912
"G290","1970","2","4","Missouri","29",,,,,,,,"Missouri",,,,4676501
"G300","1970","4","8","Montana","30",,,,,,,,"Montana",,,,694409
"G310","1970","2","4","Nebraska","31",,,,,,,,"Nebraska",,,,1483493
"G320","1970","4","8","Nevada","32",,,,,,,,"Nevada",,,,488738
"G330","1970","1","1","New Hampshire","33",,,,,,,,"New Hampshire",,,,737681
"G340","1970","1","2","New Jersey","34",,,,,,,,"New Jersey",,,,7168164
"G350","1970","4","8","New Mexico","35",,,,,,,,"New Mexico",,,,1016000
"G360","1970","1","2","New York","36",,,,,,,,"New York",,,,18236967
"G370","1970","3","5","North Carolina","37",,,,,,,,"North Carolina",,,,5082059
"G380","1970","2","4","North Dakota","38",,,,,,,,"North Dakota",,,,617761
"G390","1970","2","3","Ohio","39",,,,,,,,"Ohio",,,,10652017
"G400","1970","3","7","Oklahoma","40",,,,,,,,"Oklahoma",,,,2559229
"G410","1970","4","9","Oregon","41",,,,,,,,"Oregon",,,,2091385
"G420","1970","1","2","Pennsylvania","42",,,,,,,,"Pennsylvania",,,,11793909
"G440","1970","1","1","Rhode Island","44",,,,,,,,"Rhode Island",,,,946725
"G450","1970","3","5","South Carolina","45",,,,,,,,"South Carolina",,,,2590516
"G460","1970","2","4","South Dakota","46",,,,,,,,"South Dakota",,,,665507
"G470","1970","3","6","Tennessee","47",,,,,,,,"Tennessee",,,,3923687
"G480","1970","3","7","Texas","48",,,,,,,,"Texas",,,,11196730
"G490","1970","4","8","Utah","49",,,,,,,,"Utah",,,,1059273
"G500","1970","1","1","Vermont","50",,,,,,,,"Vermont",,,,444330
"G510","1970","3","5","Virginia","51",,,,,,,,"Virginia",,,,4648494
"G530","1970","4","9","Washington","53",,,,,,,,"Washington",,,,3409169
"G540","1970","3","5","West Virginia","54",,,,,,,,"West Virginia",,,,1744237
"G550","1970","2","3","Wisconsin","55",,,,,,,,"Wisconsin",,,,4417731
"G560","1970","4","8","Wyoming","56",,,,,,,,"Wyoming",,,,332416
