GISJOIN,YEAR,FSTATUS,REGION,DIVISION,STATE,STATEA,SMSAA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,URB_AREAA,AIANHHA,SEA,UATYPE,PLACDESC,CBD,AREANAME,SUPFLG01,SUPFPA03,SUPFLG04,SUPFLG05,SUPFLG06,PBSUM00,PBSUM01,PBSUM02,PBSUM03,PBSUM04,PBSUM05,PBSUM06,PBSUM07,PBSUM08,PBSUM09,PBSUM10,PBSUM11,PBSUM12,PBSUM13,PBSUM14,PBSUM15,PBSUM16,PBSUM17,PBSUM18,PBSUM19,PBSUM20,PBSUM21,PBSUM22,PBSUM23,PBSUM24,PBSUM25,PBSUM26,PBSUM27,PBSUM28,PBSUM29,PBSUM30,PBSUM31,PBSUM32,PBSUM33,PBSUM34,PBSUM35,PBSUM36,PBSUM37,PBSUM38,DTQ001,DUE001
"G010","1980","A","3","6","Alabama","01",,,,,,,,,,,,,"ALABAMA",,,,,,"1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",3893888,3893888
"G020","1980","A","4","9","Alaska","02",,,,,,,,,,,,,"ALASKA",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",401851,401851
"G040","1980","A","4","8","Arizona","04",,,,,,,,,,,,,"ARIZONA",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2718215,2718215
"G050","1980","A","3","7","Arkansas","05",,,,,,,,,,,,,"ARKANSAS",,,,,,"1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2286435,2286435
"G060","1980","A","4","9","California","06",,,,,,,,,,,,,"CALIFORNIA",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",23667902,23667902
"G080","1980","A","4","8","Colorado","08",,,,,,,,,,,,,"COLORADO",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",2889964,2889964
"G090","1980","A","1","1","Connecticut","09",,,,,,,,,,,,,"CONNECTICUT",,,,,,"1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",3107576,3107576
"G100","1980","A","3","5","Delaware","10",,,,,,,,,,,,,"DELAWARE",,,,,,"1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",594338,594338
"G110","1980","A","3","5","District Of Columbia","11",,,,,,,,,,,,,"DISTRICT OF COLUMBIA",,,,,,"1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",638333,638333
"G120","1980","A","3","5","Florida","12",,,,,,,,,,,,,"FLORIDA",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",9746324,9746324
"G130","1980","A","3","5","Georgia","13",,,,,,,,,,,,,"GEORGIA",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",5463105,5463105
