GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,E0H001,E28001
"G010","1990","AL",,,,,,,,,,,,,,,"6",,,,,,"3","Alabama","01",,,,,"0131443117","0004332265","Alabama","A","+32844987","-086718688","01",4040587,4040587
"G020","1990","AK",,,,,,,,,,,,,,,"9",,,,,,"4","Alaska","02",,,,,"1477267515","0222870598","Alaska","A","+65285776","-151646937","01",550043,550043
"G040","1990","AZ",,,,,,,,,,,,,,,"8",,,,,,"4","Arizona","04",,,,,"0294333362","0000942772","Arizona","A","+34595236","-112554041","01",3665228,3665228
"G050","1990","AR",,,,,,,,,,,,,,,"7",,,,,,"3","Arkansas","05",,,,,"0134875069","0002867313","Arkansas","A","+34770100","-092310815","01",2350725,2350725
"G060","1990","CA",,,,,,,,,,,,,,,"9",,,,,,"4","California","06",,,,,"0403970679","0020031222","California","A","+37219685","-119765135","01",29760021,29760021
"G080","1990","CO",,,,,,,,,,,,,,,"8",,,,,,"4","Colorado","08",,,,,"0268657691","0000960363","Colorado","A","+39116743","-105713562","01",3294394,3294394
"G090","1990","CT",,,,,,,,,,,,,,,"1",,,,,,"1","Connecticut","09",,,,,"0012549571","0001808456","Connecticut","A","+41807100","-072734983","01",3287116,3287116
"G100","1990","DE",,,,,,,,,,,,,,,"5",,,,,,"3","Delaware","10",,,,,"0005062455","0001385020","Delaware","A","+39097086","-075503073","01",666168,666168
"G110","1990","DC",,,,,,,,,,,,,,,"5",,,,,,"3","District Of Columbia","11",,,,,"0000159055","0000017991","District of Columbia","A","+38905050","-077016167","01",606900,606900
"G120","1990","FL",,,,,,,,,,,,,,,"5",,,,,,"3","Florida","12",,,,,"0139852965","0030461000","Florida","A","+28553015","-082468232","01",12937926,12937926
"G130","1990","GA",,,,,,,,,,,,,,,"5",,,,,,"3","Georgia","13",,,,,"0150009517","0003942570","Georgia","A","+32665980","-083426091","01",6478216,6478216
"G150","1990","HI",,,,,,,,,,,,,,,"9",,,,,,"4","Hawaii","15",,,,,"0016636478","0011676353","Hawaii","A","+21225926","-156947946","01",1108229,1108229
"G160","1990","ID",,,,,,,,,,,,,,,"8",,,,,,"4","Idaho","16",,,,,"0214324967","0002131143","Idaho","A","+44231748","-114293962","01",1006749,1006749
"G170","1990","IL",,,,,,,,,,,,,,,"3",,,,,,"2","Illinois","17",,,,,"0143986609","0006020697","Illinois","A","+40126675","-089362724","01",11430602,11430602
"G180","1990","IN",,,,,,,,,,,,,,,"3",,,,,,"2","Indiana","18",,,,,"0092903619","0001424225","Indiana","A","+39782000","-086137996","01",5544159,5544159
"G190","1990","IA",,,,,,,,,,,,,,,"4",,,,,,"2","Iowa","19",,,,,"0144715985","0001037659","Iowa","A","+42036923","-093466437","01",2776755,2776755
"G200","1990","KS",,,,,,,,,,,,,,,"4",,,,,,"2","Kansas","20",,,,,"0211921621","0001188863","Kansas","A","+38347421","-098200298","01",2477574,2477574
"G210","1990","KY",,,,,,,,,,,,,,,"6",,,,,,"3","Kentucky","21",,,,,"0102906735","0001758509","Kentucky","A","+37554214","-085269585","01",3685296,3685296
"G220","1990","LA",,,,,,,,,,,,,,,"7",,,,,,"3","Louisiana","22",,,,,"0112836222","0021438322","Louisiana","A","+31070949","-092002765","01",4219973,4219973
"G230","1990","ME",,,,,,,,,,,,,,,"1",,,,,,"1","Maine","23",,,,,"0079939104","0011713985","Maine","A","+45842637","-069295028","01",1227928,1227928
"G240","1990","MD",,,,,,,,,,,,,,,"5",,,,,,"3","Maryland","24",,,,,"0025316318","0006817578","Maryland","A","+38992333","-076569358","01",4781468,4781468
"G250","1990","MA",,,,,,,,,,,,,,,"1",,,,,,"1","Massachusetts","25",,,,,"0020300302","0007036819","Massachusetts","A","+42173933","-071185494","01",6016425,6016425
"G260","1990","MI",,,,,,,,,,,,,,,"3",,,,,,"2","Michigan","26",,,,,"0147135821","0103329331","Michigan","A","+44733305","-085552462","01",9295297,9295297
"G270","1990","MN",,,,,,,,,,,,,,,"4",,,,,,"2","Minnesota","27",,,,,"0206206745","0018975050","Minnesota","A","+46486988","-094071825","01",4375099,4375099
"G280","1990","MS",,,,,,,,,,,,,,,"6",,,,,,"3","Mississippi","28",,,,,"0121506404","0003936705","Mississippi","A","+32752886","-089523199","01",2573216,2573216
"G290","1990","MO",,,,,,,,,,,,,,,"4",,,,,,"2","Missouri","29",,,,,"0178446011","0002100155","Missouri","A","+38217095","-092432032","01",5117073,5117073
"G300","1990","MT",,,,,,,,,,,,,,,"8",,,,,,"4","Montana","30",,,,,"0376990894","0003858590","Montana","A","+47261544","-109222007","01",799065,799065
"G310","1990","NE",,,,,,,,,,,,,,,"4",,,,,,"2","Nebraska","31",,,,,"0199113173","0001244839","Nebraska","A","+41393949","-099726684","01",1578385,1578385
"G320","1990","NV",,,,,,,,,,,,,,,"8",,,,,,"4","Nevada","32",,,,,"0284396270","0001970975","Nevada","A","+39945697","-117026495","01",1201833,1201833
"G330","1990","NH",,,,,,,,,,,,,,,"1",,,,,,"1","New Hampshire","33",,,,,"0023230673","0000988268","New Hampshire","A","+43518880","-071424962","01",1109252,1109252
"G340","1990","NJ",,,,,,,,,,,,,,,"2",,,,,,"1","New Jersey","34",,,,,"0019214779","0003374993","New Jersey","A","+40281920","-074699203","01",7730188,7730188
"G350","1990","NM",,,,,,,,,,,,,,,"8",,,,,,"4","New Mexico","35",,,,,"0314334035","0000605320","New Mexico","A","+34640111","-105854078","01",1515069,1515069
"G360","1990","NY",,,,,,,,,,,,,,,"2",,,,,,"1","New York","36",,,,,"0122309743","0018770519","New York","A","+42911775","-075668201","01",17990455,17990455
"G370","1990","NC",,,,,,,,,,,,,,,"5",,,,,,"3","North Carolina","37",,,,,"0126179811","0013217417","North Carolina","A","+35476112","-079172288","01",6628637,6628637
"G380","1990","ND",,,,,,,,,,,,,,,"4",,,,,,"2","North Dakota","38",,,,,"0178695204","0004427792","North Dakota","A","+47581277","-100340990","01",638800,638800
"G390","1990","OH",,,,,,,,,,,,,,,"3",,,,,,"2","Ohio","39",,,,,"0106067224","0010036128","Ohio","A","+40525913","-082797934","01",10847115,10847115
"G400","1990","OK",,,,,,,,,,,,,,,"7",,,,,,"3","Oklahoma","40",,,,,"0177877409","0003170994","Oklahoma","A","+35548500","-097414951","01",3145585,3145585
"G410","1990","OR",,,,,,,,,,,,,,,"9",,,,,,"4","Oregon","41",,,,,"0248646415","0006172329","Oregon","A","+44131686","-120358943","01",2842321,2842321
"G420","1990","PA",,,,,,,,,,,,,,,"2",,,,,,"1","Pennsylvania","42",,,,,"0116082670","0003207985","Pennsylvania","A","+40914266","-077818493","01",11881643,11881643
"G440","1990","RI",,,,,,,,,,,,,,,"1",,,,,,"1","Rhode Island","44",,,,,"0002706520","0001295293","Rhode Island","A","+41676150","-071576875","01",1003464,1003464
"G450","1990","SC",,,,,,,,,,,,,,,"5",,,,,,"3","South Carolina","45",,,,,"0077987813","0004914071","South Carolina","A","+34030983","-080906595","01",3486703,3486703
"G460","1990","SD",,,,,,,,,,,,,,,"4",,,,,,"2","South Dakota","46",,,,,"0196570627","0003173691","South Dakota","A","+44393092","-099986777","01",696004,696004
"G470","1990","TN",,,,,,,,,,,,,,,"6",,,,,,"3","Tennessee","47",,,,,"0106758491","0002399608","Tennessee","A","+35843234","-086416543","01",4877185,4877185
"G480","1990","TX",,,,,,,,,,,,,,,"7",,,,,,"3","Texas","48",,,,,"0678358058","0017318298","Texas","A","+31196882","-099346716","01",16986510,16986510
"G490","1990","UT",,,,,,,,,,,,,,,"8",,,,,,"4","Utah","49",,,,,"0212815498","0007086314","Utah","A","+39373352","-111575157","01",1722850,1722850
"G500","1990","VT",,,,,,,,,,,,,,,"1",,,,,,"1","Vermont","50",,,,,"0023955760","0000947039","Vermont","A","+44269630","-072621309","01",562758,562758
"G510","1990","VA",,,,,,,,,,,,,,,"5",,,,,,"3","Virginia","51",,,,,"0102558208","0008233555","Virginia","A","+37568550","-078525376","01",6187358,6187358
"G530","1990","WA",,,,,,,,,,,,,,,"9",,,,,,"4","Washington","53",,,,,"0172445421","0012226420","Washington","A","+47124405","-120675562","01",4866692,4866692
"G540","1990","WV",,,,,,,,,,,,,,,"5",,,,,,"3","West Virginia","54",,,,,"0062384197","0000375198","West Virginia","A","+38703282","-080731279","01",1793477,1793477
"G550","1990","WI",,,,,,,,,,,,,,,"3",,,,,,"2","Wisconsin","55",,,,,"0140672415","0028970544","Wisconsin","A","+44475670","-089498457","01",4891769,4891769
"G560","1990","WY",,,,,,,,,,,,,,,"8",,,,,,"4","Wyoming","56",,,,,"0251500801","0001848149","Wyoming","A","+42965153","-106804612","01",453588,453588
