GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C7L001
"G010","1980","A","3","6","Alabama","01",,,,,,,,,,,,,,,,,,,,,,,"ALABAMA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3893888
"G020","1980","A","4","9","Alaska","02",,,,,,,,,,,,,,,,,,,,,,,"ALASKA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",401851
"G040","1980","A","4","8","Arizona","04",,,,,,,,,,,,,,,,,,,,,,,"ARIZONA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2718215
"G050","1980","A","3","7","Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,"ARKANSAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2286435
"G060","1980","A","4","9","California","06",,,,,,,,,,,,,,,,,,,,,,,"CALIFORNIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",23667902
"G080","1980","A","4","8","Colorado","08",,,,,,,,,,,,,,,,,,,,,,,"COLORADO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2889964
"G090","1980","A","1","1","Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,"CONNECTICUT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3107576
"G100","1980","A","3","5","Delaware","10",,,,,,,,,,,,,,,,,,,,,,,"DELAWARE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",594338
"G110","1980","A","3","5","District Of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,"DISTRICT OF COLUMBIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",638333
"G120","1980","A","3","5","Florida","12",,,,,,,,,,,,,,,,,,,,,,,"FLORIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",9746324
"G130","1980","A","3","5","Georgia","13",,,,,,,,,,,,,,,,,,,,,,,"GEORGIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5463105
"G150","1980","A","4","9","Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,"HAWAII","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",964691
"G160","1980","A","4","8","Idaho","16",,,,,,,,,,,,,,,,,,,,,,,"IDAHO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",943935
"G170","1980","A","2","3","Illinois","17",,,,,,,,,,,,,,,,,,,,,,,"ILLINOIS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",11426518
"G180","1980","A","2","3","Indiana","18",,,,,,,,,,,,,,,,,,,,,,,"INDIANA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5490224
"G190","1980","A","2","4","Iowa","19",,,,,,,,,,,,,,,,,,,,,,,"IOWA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2913808
"G200","1980","A","2","4","Kansas","20",,,,,,,,,,,,,,,,,,,,,,,"KANSAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2363679
"G210","1980","A","3","6","Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,"KENTUCKY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3660777
"G220","1980","A","3","7","Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,"LOUISIANA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4205900
"G230","1980","A","1","1","Maine","23",,,,,,,,,,,,,,,,,,,,,,,"MAINE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1124660
"G240","1980","A","3","5","Maryland","24",,,,,,,,,,,,,,,,,,,,,,,"MARYLAND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4216975
"G250","1980","A","1","1","Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,"MASSACHUSETTS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5737037
"G260","1980","A","2","3","Michigan","26",,,,,,,,,,,,,,,,,,,,,,,"MICHIGAN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",9262078
"G270","1980","A","2","4","Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,"MINNESOTA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4075970
"G280","1980","A","3","6","Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,"MISSISSIPPI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2520638
"G290","1980","A","2","4","Missouri","29",,,,,,,,,,,,,,,,,,,,,,,"MISSOURI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4916686
"G300","1980","A","4","8","Montana","30",,,,,,,,,,,,,,,,,,,,,,,"MONTANA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",786690
"G310","1980","A","2","4","Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,"NEBRASKA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1569825
"G320","1980","A","4","8","Nevada","32",,,,,,,,,,,,,,,,,,,,,,,"NEVADA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",800493
