GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GHC001
"G010","2000","US","3","6","Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131426361901","4338264191","Alabama","A","+33041578","-086717606","01",,,4447100
"G020","2000","US","4","9","Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1481346887193","236507354315","Alaska","A","+61593773","-149689776","01",,,626932
"G040","2000","US","4","8","Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294312170780","942059255","Arizona","A","+33979048","-111654430","01",,,5130632
"G050","2000","US","3","7","Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"134855939370","2876047706","Arkansas","A","+34984084","-092487179","01",,,2673400
"G060","2000","US","4","9","California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"403932815196","20036751351","California","A","+36148666","-119601508","01",,,33871648
"G080","2000","US","4","8","Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"268627156313","973947089","Colorado","A","+39279984","-105358979","01",,,4301261
"G090","2000","US","1","1","Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12547983374","1809174855","Connecticut","A","+41518148","-072818249","01",,,3405565
"G100","2000","US","3","5","Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5059707268","1387471795","Delaware","A","+39185514","-075504198","01",,,783600
"G110","2000","US","3","5","District Of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"159033692","17968995","District of Columbia","A","+38913611","-077013222","01",,,572059
"G120","2000","US","3","5","Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"139669812564","30633792058","Florida","A","+28140923","-082012976","01",,,15982378
"G130","2000","US","3","5","Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"149976204860","3933225333","Georgia","A","+32958120","-083603378","01",,,8186453
"G150","2000","US","4","9","Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16634521307","11676592338","Hawaii","A","+20807317","-156991487","01",,,1211537
"G160","2000","US","4","8","Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"214314284702","2131225477","Idaho","A","+44390597","-114909437","01",,,1293953
"G170","2000","US","2","3","Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"143960815935","6036720674","Illinois","A","+40567457","-088847580","01",,,12419293
"G180","2000","US","2","3","Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92894848176","1426646391","Indiana","A","+40070025","-086272347","01",,,6080485
"G190","2000","US","2","4","Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"144700963406","1041685824","Iowa","A","+42038326","-093368434","01",,,2926324
"G200","2000","US","2","4","Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"211899555547","1196479516","Kansas","A","+38442264","-097399596","01",,,2688418
"G210","2000","US","3","6","Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102895503258","1763380947","Kentucky","A","+37637259","-085323884","01",,,4041769
"G220","2000","US","3","7","Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112824665700","21439542252","Louisiana","A","+30883133","-091731841","01",,,4468976
"G230","2000","US","1","1","Maine","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79931052601","11714777245","Maine","A","+44665264","-069457397","01",,,1274923
"G240","2000","US","3","5","Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25314076865","6819073655","Maryland","A","+39114408","-076782835","01",,,5296486
"G250","2000","US","1","1","Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20305551568","7030651706","Massachusetts","A","+42235405","-071402300","01",,,6349097
"G260","2000","US","2","3","Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"147121215368","103372337909","Michigan","A","+43403838","-084679044","01",,,9938444
"G270","2000","US","2","4","Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"206189140788","18981482285","Minnesota","A","+45639952","-094083065","01",,,4919479
"G280","2000","US","3","6","Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121488450732","3945172740","Mississippi","A","+32700249","-089609622","01",,,2844658
"G290","2000","US","2","4","Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"178413721374","2119611899","Missouri","A","+38353271","-092439467","01",,,5595211
"G300","2000","US","4","8","Montana","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"376979057369","3858989004","Montana","A","+46939672","-110568466","01",,,902195
"G310","2000","US","2","4","Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"199098632058","1246588932","Nebraska","A","+41242052","-098411541","01",,,1711263
"G320","2000","US","4","8","Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"284448008848","1902899301","Nevada","A","+38640903","-116886031","01",,,1998257
"G330","2000","US","1","1","New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23227265747","988970050","New Hampshire","A","+43309253","-071540147","01",,,1235786
"G340","2000","US","1","2","New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19210817801","3377250378","New Jersey","A","+40291026","-074500310","01",,,8414350
"G350","2000","US","4","8","New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"314309355994","605947499","New Mexico","A","+34715946","-106338771","01",,,1819046
"G360","2000","US","1","2","New York","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122283145776","19016249880","New York","A","+42155127","-075164667","01",,,18976457
"G370","2000","US","3","5","North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"126160600432","13228705076","North Carolina","A","+35526729","-079746124","01",,,8049313
"G380","2000","US","2","4","North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"178646833011","4464770063","North Dakota","A","+47534051","-099937310","01",,,642200
"G390","2000","US","2","3","Ohio","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106055800423","10040156786","Ohio","A","+40406215","-082720939","01",,,11353140
"G400","2000","US","3","7","Oklahoma","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"177846860194","3188623148","Oklahoma","A","+35572285","-097043688","01",,,3450654
"G410","2000","US","4","9","Oregon","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"248630538171","6174151143","Oregon","A","+44380111","-121878222","01",,,3421399
"G420","2000","US","1","2","Pennsylvania","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116074476061","3208037275","Pennsylvania","A","+40616374","-077405999","01",,,12281054
"G440","2000","US","1","1","Rhode Island","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2706348685","1295300811","Rhode Island","A","+41730800","-071455484","01",,,1048319
"G450","2000","US","3","5","South Carolina","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77983161188","4948771376","South Carolina","A","+33993155","-080963451","01",,,4012012
"G460","2000","US","2","4","South Dakota","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"196540314429","3190480713","South Dakota","A","+44247204","-099195494","01",,,754844
"G470","2000","US","3","6","Tennessee","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106751842839","2398721489","Tennessee","A","+35822799","-086090713","01",,,5689283
"G480","2000","US","3","7","Texas","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"678051389889","17569713726","Texas","A","+31308052","-098241319","01",,,20851820
"G490","2000","US","4","8","Utah","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"212751079528","7135874231","Utah","A","+39845409","-111785442","01",,,2233169
"G500","2000","US","1","1","Vermont","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23956246818","944570995","Vermont","A","+44023032","-072674848","01",,,608827
"G510","2000","US","3","5","Virginia","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102548167005","8236501395","Virginia","A","+37554963","-078376114","01",,,7078515
"G530","2000","US","4","9","Washington","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"172348318782","12316884947","Washington","A","+47315690","-121102030","01",,,5894121
"G540","2000","US","3","5","West Virginia","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62361027006","393757137","West Virginia","A","+38752463","-080740921","01",,,1808344
"G550","2000","US","2","3","Wisconsin","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140662519921","28976054385","Wisconsin","A","+44190581","-089568976","01",,,5363675
"G560","2000","US","4","8","Wyoming","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"251488872143","1847081495","Wyoming","A","+42868330","-107166807","01",,,493782
