GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,STATEICP,COUNTYICP,AYM001,AYU001
"G010","1900","Alabama","010",,"Alabama","41","0",1828697,1828697
"G025","1900","Alaska Territory","025",,"Alaska Territory","81","0",63592,63592
"G045","1900","Arizona Territory","045",,"Arizona Territory","61","0",122931,122931
"G050","1900","Arkansas","050",,"Arkansas","42","0",1311564,1311564
"G060","1900","California","060",,"California","71","0",1485053,1485053
"G080","1900","Colorado","080",,"Colorado","62","0",539700,539700
"G090","1900","Connecticut","090",,"Connecticut","1","0",908420,908420
"G100","1900","Delaware","100",,"Delaware","11","0",184735,184735
"G110","1900","District Of Columbia","110",,"District of Columbia","98","0",278718,278718
"G120","1900","Florida","120",,"Florida","43","0",528542,528542
"G130","1900","Georgia","130",,"Georgia","44","0",2216331,2216331
"G155","1900","Hawaii Territory","155",,"Hawaii Territory","82","0",154001,154001
"G160","1900","Idaho","160",,"Idaho","63","0",161772,161772
"G170","1900","Illinois","170",,"Illinois","21","0",4821550,4821550
"G178","1900","Indian Territory","178",,"Indian Territory","97","0",392060,392060
"G180","1900","Indiana","180",,"Indiana","22","0",2516462,2516462
"G190","1900","Iowa","190",,"Iowa","31","0",2231853,2231853
"G200","1900","Kansas","200",,"Kansas","32","0",1470495,1470495
"G210","1900","Kentucky","210",,"Kentucky","51","0",2147174,2147174
"G220","1900","Louisiana","220",,"Louisianna","45","0",1381625,1381625
"G230","1900","Maine","230",,"Maine","2","0",694466,694466
"G240","1900","Maryland","240",,"Maryland","52","0",1188044,1188044
"G250","1900","Massachusetts","250",,"Massachusetts","3","0",2805346,2805346
"G260","1900","Michigan","260",,"Michigan","23","0",2420982,2420982
"G270","1900","Minnesota","270",,"Minnesota","33","0",1751394,1751394
"G280","1900","Mississippi","280",,"Mississippi","46","0",1551270,1551270
"G290","1900","Missouri","290",,"Missouri","34","0",3106665,3106665
"G300","1900","Montana","300",,"Montana","64","0",243329,243329
"G310","1900","Nebraska","310",,"Nebraska","35","0",1066300,1066300
"G320","1900","Nevada","320",,"Nevada","65","0",42335,42335
"G330","1900","New Hampshire","330",,"New Hampshire","4","0",411588,411588
"G340","1900","New Jersey","340",,"New Jersey","12","0",1883669,1883669
"G355","1900","New Mexico Territory","355",,"New Mexico Territory","66","0",195310,195310
"G360","1900","New York","360",,"New York","13","0",7268894,7268894
"G370","1900","North Carolina","370",,"North Carolina","47","0",1893810,1893810
"G380","1900","North Dakota","380",,"North Dakota","36","0",319146,319146
"G390","1900","Ohio","390",,"Ohio","24","0",4157545,4157545
"G405","1900","Oklahoma Territory","405",,"Oklahoma Territory","53","0",398331,398331
"G410","1900","Oregon","410",,"Oregon","72","0",413536,413536
"G420","1900","Pennsylvania","420",,"Pennsylvania","14","0",6302115,6302115
"G440","1900","Rhode Island","440",,"Rhode Island","5","0",428556,428556
"G450","1900","South Carolina","450",,"South Carolina","48","0",1340316,1340316
"G460","1900","South Dakota","460",,"South Dakota","37","0",401570,401570
"G470","1900","Tennessee","470",,"Tennessee","54","0",2020616,2020616
"G480","1900","Texas","480",,"Texas","49","0",3048710,3048710
"G490","1900","Utah","490",,"Utah","67","0",276749,276749
"G500","1900","Vermont","500",,"Vermont","6","0",343641,343641
"G510","1900","Virginia","510",,"Virginia","40","0",1854184,1854184
"G530","1900","Washington","530",,"Washington","73","0",518103,518103
"G540","1900","West Virginia","540",,"West Virginia","56","0",958800,958800
"G550","1900","Wisconsin","550",,"Wisconsin","25","0",2069042,2069042
"G560","1900","Wyoming","560",,"Wyoming","68","0",92531,92531
"G999","1900","Persons in the Military","999",,"Persons in Military","99","0",91219,91219
