GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,STATEICP,COUNTYICP,A3Y001,A3Y002
"G010","1910","Alabama","010",,"Alabama","41","0",2138093,1828697
"G025","1910","Alaska Territory","025",,"Alaska Territory","81","0",64356,63592
"G045","1910","Arizona Territory","045",,"Arizona Territory","61","0",204354,122931
"G050","1910","Arkansas","050",,"Arkansas","42","0",1574449,1311679
"G060","1910","California","060",,"California","71","0",2377549,1485053
"G080","1910","Colorado","080",,"Colorado","62","0",799024,539700
"G090","1910","Connecticut","090",,"Connecticut","1","0",1114756,908420
"G100","1910","Delaware","100",,"Delaware","11","0",202322,184735
"G110","1910","District Of Columbia","110",,"District of Columbia","98","0",331069,278718
"G120","1910","Florida","120",,"Florida","43","0",752619,528542
"G130","1910","Georgia","130",,"Georgia","44","0",2609121,2216331
"G155","1910","Hawaii Territory","155",,"Hawaii Territory","82","0",191909,154001
"G160","1910","Idaho","160",,"Idaho","63","0",325594,161772
"G170","1910","Illinois","170",,"Illinois","21","0",5638591,4821550
"G180","1910","Indiana","180",,"Indiana","22","0",2700876,2516462
"G190","1910","Iowa","190",,"Iowa","31","0",2224771,2231853
"G200","1910","Kansas","200",,"Kansas","32","0",1690949,1470495
"G210","1910","Kentucky","210",,"Kentucky","51","0",2289905,2147174
"G220","1910","Louisiana","220",,"Louisianna","45","0",1656388,1381625
"G230","1910","Maine","230",,"Maine","2","0",742371,694466
"G240","1910","Maryland","240",,"Maryland","52","0",1295346,1188044
"G250","1910","Massachusetts","250",,"Massachusetts","3","0",3366416,2805346
"G260","1910","Michigan","260",,"Michigan","23","0",2810173,2420982
"G270","1910","Minnesota","270",,"Minnesota","33","0",2075708,1751394
"G280","1910","Mississippi","280",,"Mississippi","46","0",1797114,1551270
"G290","1910","Missouri","290",,"Missouri","34","0",3293335,3106665
"G300","1910","Montana","300",,"Montana","64","0",376053,243329
"G310","1910","Nebraska","310",,"Nebraska","35","0",1192214,1066300
"G320","1910","Nevada","320",,"Nevada","65","0",81875,42335
"G330","1910","New Hampshire","330",,"New Hampshire","4","0",430572,411588
"G340","1910","New Jersey","340",,"New Jersey","12","0",2537167,1883669
"G355","1910","New Mexico Territory","355",,"New Mexico Territory","66","0",327301,195310
"G360","1910","New York","360",,"New York","13","0",9113614,7268894
"G370","1910","North Carolina","370",,"North Carolina","47","0",2206287,1893810
"G380","1910","North Dakota","380",,"North Dakota","36","0",577056,319146
"G390","1910","Ohio","390",,"Ohio","24","0",4767121,4157545
"G400","1910","Oklahoma","400",,"Oklahoma","53","0",1657155,
"G410","1910","Oregon","410",,"Oregon","72","0",672765,413536
"G420","1910","Pennsylvania","420",,"Pennsylvania","14","0",7665111,6302115
"G440","1910","Rhode Island","440",,"Rhode Island","5","0",542610,428556
"G450","1910","South Carolina","450",,"South Carolina","48","0",1515400,1340316
"G460","1910","South Dakota","460",,"South Dakota","37","0",583888,401570
"G470","1910","Tennessee","470",,"Tennessee","54","0",2184789,2020501
"G480","1910","Texas","480",,"Texas","49","0",3896542,3048710
"G490","1910","Utah","490",,"Utah","67","0",373351,276749
"G500","1910","Vermont","500",,"Vermont","6","0",355956,343641
"G510","1910","Virginia","510",,"Virginia","40","0",2061612,1854184
"G530","1910","Washington","530",,"Washington","73","0",1141990,518103
"G540","1910","West Virginia","540",,"West Virginia","56","0",1221119,958800
"G550","1910","Wisconsin","550",,"Wisconsin","25","0",2333860,2069042
"G560","1910","Wyoming","560",,"Wyoming","68","0",145965,92531
